swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
IGTRPLP1XXX,IGTRPLP1,IGORIA TRADE S.A.,"PULAWSKA 111A-109, FLOOR 5  WARSZAWA, MAZOWIECKIE, 02-707",WARSZAWA,PL,POLAND,1
AIZKLV22CLN,AIZKLV22,"ABLV BANK, AS IN LIQUIDATION","ELIZABETES STREET 23  RIGA, RIGA, LV-1010",RIGA,LV,LATVIA,
IESCMTM1XXX,IESCMTM1,4 SQ INTERNATIONAL SCC LTD,"OFFICE NO. 9 152 NAXXAR ROAD SAN GWANN, SAINT JOHN, SGN 9030",SAN GWANN,MT,MALTA,1
PAPYMTMTXXX,PAPYMTMT,PAPAYA LTD,"31 SLIEMA ROAD  GZIRA, GZIRA, GZR 1637",GZIRA,MT,MALTA,1
ENLCCLRMXXX,ENLCCLRM,ENEL CHILE S.A.,"AVENIDA SANTA ROSA 76, FLOOR 15 EDIFICIO ENEL - SANTIAGO, PROVINCIA DE SANTIAGO, 8330099",SANTIAGO,CL,CHILE,1
PTFIPLPWAKG,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWAKT,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWALF,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWALS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWDEL,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWGAM,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWNED,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWOGL,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWOKP,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWPAK,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWPAS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWPOB,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWPPI,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
UBPGMCMXT2S,UBPGMCMX,"UNION BANCAIRE PRIVEE, UBP SA","LA BELLE EPOQUE 17 AVENUE D'OSTENDE MONACO, MONACO, 98000",MONACO,MC,MONACO,
LLBBLV2X111,LLBBLV2X,SIGNET BANK AS,"ANTONIJAS 3  RIGA, RIGA, LV-1010",RIGA,LV,LATVIA,
MSFVMTM1XXX,MSFVMTM1,CEEVO FINANCIAL SERVICES (MALTA) LIMITED,"SUITE 2 , FLOOR 2, SKYWAY OFFICES BLOCK B 178 MARINA STREET PIETA, PIETA, PTA 9042",PIETA,MT,MALTA,1
PAUUMTM1XXX,PAUUMTM1,FINXP LIMITED,"SUITE 3, FLOOR 2, SKYWAY OFFICES BLOCK A 177 MARINA STREET PIETA, PIETA, PTA 9072",PIETA,MT,MALTA,1
SIMZLV21XXX,SIMZLV21,SIA MONETIZATOR,"BLAUMANA STR. 5A-10  RIGA, RIGA, LV-1011",RIGA,LV,LATVIA,1
BREXPLPWWA5,BREXPLPW,MBANK S.A. (FORMERLY BRE BANK S.A.),"PROSTA 68  WARSZAWA, MAZOWIECKIE, 00-838",WARSZAWA,PL,POLAND,
EUFCBGS1XXX,EUFCBGS1,EURO-FINANCE LTD,"PATRIARCH EVTIMII BLVD 84  SOFIA, SOFIA, 1463",SOFIA,BG,BULGARIA,1
TRPEMTM1XXX,TRPEMTM1,TRUEVO PAYMENTS LTD,"FLOOR 1, MWH BUILDING ORATORY STREET NAXXAR, NAXXAR, NXR 2504",NAXXAR,MT,MALTA,1
CFTEMTM1XXX,CFTEMTM1,OPENPAYD FINANCIAL SERVICES MALTA LTD,"FLOOR 3 137 SPINOLA ROAD - ST JULIAN'S, ST. JULIAN'S, STJ 3155 ",ST. JULIAN'S,MT,MALTA,1
DOAEMTM1XXX,DOAEMTM1,DOLFIN ASSET SERVICES LIMITED,"FLOOR 5 89 ST. JOHN'S STREET VALLETTA, VALLETTA, VLT 1165",VALLETTA,MT,MALTA,1
CHASCLRMAMM,CHASCLRM,"JPMORGAN CHASE BANK, N.A., SANTIAGO BRANCH","AV. APOQUINDO 2827, FLOOR 13 LAS CONDES - SANTIAGO, PROVINCIA DE SANTIAGO, 7590956",SANTIAGO,CL,CHILE,
CHASCLRMCDB,CHASCLRM,"JPMORGAN CHASE BANK, N.A., SANTIAGO BRANCH","AV. APOQUINDO 2827, FLOOR 13 LAS CONDES - SANTIAGO, PROVINCIA DE SANTIAGO, 7590956",SANTIAGO,CL,CHILE,
CHASCLRMICM,CHASCLRM,"JPMORGAN CHASE BANK, N.A., SANTIAGO BRANCH","AV. APOQUINDO 2827, FLOOR 13 LAS CONDES - SANTIAGO, PROVINCIA DE SANTIAGO, 7590956",SANTIAGO,CL,CHILE,
PTFIPLPWFSF,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFSS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
GSCLCLR1XXX,GSCLCLR1,GOLDMAN SACHS CHILE LIMITADA,"AVENIDA APOQUINDO 472, 3 PATIO FOSTER BUILDING, LAS CONDES SANTIAGO, PROVINCIA DE SANTIAGO",SANTIAGO,CL,CHILE,1
GSIWPLP1XXX,GSIWPLP1,GOLDMAN SACHS INTERNATIONAL WARSAW BRANCH,"WARSAW SPIRE PLAC EUROPEJSKI 1 WARSZAWA, MAZOWIECKIE, 00-844",WARSZAWA,PL,POLAND,1
